budget_tokens,dataset,seed,method,target_loss,first_hit_step,first_hit_tokens,first_hit_ppl,total_minutes
100000000,fineweb_edu,2027,role_depth_v2,4.20,2150,70451200,65.980,20.727
100000000,fineweb_edu,2027,role_depth_v2,4.10,2750,90112000,60.015,20.727
100000000,fineweb_edu,2027,role_depth_v3,4.80,950,31129600,116.632,24.433
100000000,fineweb_edu,2027,role_depth_v3,4.60,1200,39321600,96.090,24.433
100000000,fineweb_edu,2027,role_depth_v3,4.40,1550,50790400,79.772,24.433
100000000,fineweb_edu,2027,role_depth_v3,4.30,1800,58982400,72.931,24.433
100000000,fineweb_edu,2027,role_depth_v3,4.20,2200,72089600,66.014,24.433
100000000,fineweb_edu,2027,role_depth_v3,4.10,2900,95027200,60.079,24.433
100000000,fineweb_edu,2027,role_depth_v4,4.80,900,29491200,120.658,20.723
100000000,fineweb_edu,2027,role_depth_v4,4.60,1150,37683200,97.651,20.723
100000000,fineweb_edu,2027,role_depth_v4,4.40,1500,49152000,80.389,20.723
100000000,fineweb_edu,2027,role_depth_v4,4.30,1750,57344000,73.438,20.723
100000000,fineweb_edu,2027,role_depth_v4,4.20,2150,70451200,66.121,20.723
100000000,fineweb_edu,2027,role_depth_v4,4.10,2750,90112000,60.319,20.723
100000000,fineweb_edu,3407,full,4.80,900,29491200,119.212,27.774
100000000,fineweb_edu,3407,full,4.60,1150,37683200,98.272,27.774
100000000,fineweb_edu,3407,full,4.40,1500,49152000,81.337,27.774
100000000,fineweb_edu,3407,full,4.30,1850,60620800,72.514,27.774
100000000,fineweb_edu,3407,full,4.20,2200,72089600,66.587,27.774
100000000,fineweb_edu,3407,full,4.10,3000,98304000,60.270,27.774
100000000,fineweb_edu,3407,no_role_depth,4.80,950,31129600,117.328,23.456
100000000,fineweb_edu,3407,no_role_depth,4.60,1200,39321600,96.361,23.456
100000000,fineweb_edu,3407,no_role_depth,4.40,1550,50790400,80.580,23.456
100000000,fineweb_edu,3407,no_role_depth,4.30,1850,60620800,73.123,23.456
100000000,fineweb_edu,3407,no_role_depth,4.20,2250,73728000,66.332,23.456
100000000,fineweb_edu,3407,no_role_depth,4.10,,,,23.456
100000000,fineweb_edu,3407,role_depth_v2,4.80,900,29491200,119.399,22.090
100000000,fineweb_edu,3407,role_depth_v2,4.60,1150,37683200,98.399,22.090
100000000,fineweb_edu,3407,role_depth_v2,4.40,1500,49152000,81.382,22.090
100000000,fineweb_edu,3407,role_depth_v2,4.30,1850,60620800,72.655,22.090
100000000,fineweb_edu,3407,role_depth_v2,4.20,2200,72089600,66.525,22.090
100000000,fineweb_edu,3407,role_depth_v2,4.10,3000,98304000,60.238,22.090
