update,loss_tokens,proposal_accepted,functional_refresh,ledger_measurement,coefficient_abs_deviation_mean,coefficient_abs_deviation_max,budget_residual,beta2,fixed_activation_congruence,response_departure_energy
2579,676069376,False,False,gradient_surrogate,0.0,0.0,5.15982979079521e-16,0.95,1.0,0.0
2580,676331520,False,False,gradient_surrogate,0.0,0.0,3.438814197921784e-16,0.95,1.0,0.0
2581,676593664,True,False,gradient_surrogate,0.7743310928344727,4.841188430786133,0.0,0.95,1.0,0.0
2582,676855808,False,False,gradient_surrogate,0.0,0.0,1.7200247327248598e-16,0.95,1.0,0.0
2583,677117952,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2584,677380096,True,False,gradient_surrogate,0.693520724773407,5.863406658172607,0.0,0.95,1.0,0.0
2585,677642240,False,True,functional,0.0,0.0,1.72027939374483e-16,0.95,1.0,0.0
2586,677904384,False,False,gradient_surrogate,0.0,0.0,6.879550238298967e-16,0.95,1.0,0.0
2587,678166528,False,False,gradient_surrogate,0.0,0.0,1.7210787144041186e-16,0.95,1.0,0.0
2588,678428672,False,False,gradient_surrogate,0.0,0.0,3.442401870310914e-16,0.95,1.0,0.0
2589,678690816,False,False,gradient_surrogate,0.0,0.0,3.44171551393578e-16,0.95,1.0,0.0
2590,678952960,False,False,gradient_surrogate,0.0,0.0,6.881039170083532e-16,0.95,1.0,0.0
2591,679215104,False,False,gradient_surrogate,0.0,0.0,3.441356392256204e-16,0.95,1.0,0.0
2592,679477248,False,False,gradient_surrogate,0.0,0.0,3.442861075912516e-16,0.95,1.0,0.0
2593,679739392,False,True,functional,0.0,0.0,6.881859244188891e-16,0.95,1.0,0.0
2594,680001536,False,False,gradient_surrogate,0.0,0.0,5.161162401881496e-16,0.95,1.0,0.0
2595,680263680,False,False,gradient_surrogate,0.0,0.0,1.7207860491967674e-16,0.95,1.0,0.0
2596,680525824,False,False,gradient_surrogate,0.0,0.0,3.4446267596583025e-16,0.95,1.0,0.0
2597,680787968,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2598,681050112,False,False,gradient_surrogate,0.0,0.0,6.88624343263336e-16,0.95,1.0,0.0
2599,681312256,False,False,gradient_surrogate,0.0,0.0,3.4353999042980313e-16,0.95,1.0,0.0
2600,681574400,False,False,gradient_surrogate,0.0,0.0,6.8834585568397e-16,0.95,1.0,0.0
2601,681836544,False,True,functional,0.0,0.0,3.4366190114161603e-16,0.95,1.0,0.0
2602,682098688,False,False,gradient_surrogate,0.0,0.0,6.864597070723225e-16,0.95,1.0,0.0
2603,682360832,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2604,682622976,False,False,gradient_surrogate,0.0,0.0,3.43804990990142e-16,0.95,1.0,0.0
2605,682885120,False,False,gradient_surrogate,0.0,0.0,3.44196070852855e-16,0.95,1.0,0.0
2606,683147264,False,False,gradient_surrogate,0.0,0.0,1.7219941595691584e-16,0.95,1.0,0.0
2607,683409408,False,False,gradient_surrogate,0.0,0.0,1.2040169551467024e-15,0.95,1.0,0.0
2608,683671552,False,False,gradient_surrogate,0.0,0.0,1.7215790787198305e-16,0.95,1.0,0.0
2609,683933696,False,True,functional,0.0,0.0,6.882203409600085e-16,0.95,1.0,0.0
2610,684195840,False,False,gradient_surrogate,0.0,0.0,3.4427712964986775e-16,0.95,1.0,0.0
2611,684457984,False,False,gradient_surrogate,0.0,0.0,5.161512481440904e-16,0.95,1.0,0.0
2612,684720128,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
