update,loss_tokens,muon_train_loss,tiller_train_loss,train_loss_gap_tiller_minus_muon,lr,muon_step_seconds,tiller_step_seconds
65,17039360,7.490805625915527,7.289693355560303,-0.2011122703552246,9.75e-05,4.550212570466101,4.738810891285539
66,17301504,7.432153701782227,7.238587856292725,-0.19356584548950195,9.9e-05,4.54932239279151,4.685168637894094
67,17563648,7.486924171447754,7.3036789894104,-0.18324518203735352,0.0001005,4.547195040620863,4.679067516699433
68,17825792,7.419156074523926,7.228374481201172,-0.1907815933227539,0.00010199999999999999,4.54916082508862,4.677115526981652
69,18087936,7.450712203979492,7.274116039276123,-0.17659616470336914,0.0001035,4.548458831384778,4.677727473899722
70,18350080,7.426276206970215,7.242020606994629,-0.18425559997558594,0.00010499999999999999,4.5475424556061625,4.6761715011671185
71,18612224,7.408909320831299,7.218390464782715,-0.19051885604858398,0.0001065,4.545776041224599,4.6763803251087666
72,18874368,7.387434482574463,7.196722984313965,-0.19071149826049805,0.00010799999999999998,4.545352691784501,4.6812972985208035
73,19136512,7.3320393562316895,7.151520252227783,-0.18051910400390625,0.00010949999999999999,4.547433256171644,4.7323590982705355
74,19398656,7.171408653259277,6.982861518859863,-0.18854713439941406,0.00011099999999999999,4.546840975061059,4.676786023192108
75,19660800,7.305656433105469,7.124283313751221,-0.18137311935424805,0.0001125,4.546776410192251,4.674411544576287
76,19922944,7.256289005279541,7.08530855178833,-0.17098045349121094,0.00011399999999999999,4.548230708576739,4.673013508319855
77,20185088,7.279001712799072,7.104073524475098,-0.1749281883239746,0.00011549999999999999,4.545759035274386,4.673165553249419
78,20447232,7.1386799812316895,6.973618507385254,-0.16506147384643555,0.00011699999999999998,4.547801830805838,4.675871300511062
79,20709376,7.237323760986328,7.0681471824646,-0.16917657852172852,0.0001185,4.547706658020616,4.676458180882037
80,20971520,7.232442855834961,7.081070899963379,-0.15137195587158203,0.00011999999999999999,4.546756953932345,4.67482300940901
81,21233664,7.221681594848633,7.067845344543457,-0.15383625030517578,0.0001215,4.548160950653255,4.731094374321401
82,21495808,7.218901634216309,7.070755958557129,-0.1481456756591797,0.00012299999999999998,4.548752611503005,4.676760462112725
83,21757952,7.2755231857299805,7.127621173858643,-0.1479020118713379,0.0001245,4.547181000933051,4.674738912843168
84,22020096,7.198550224304199,7.051542282104492,-0.14700794219970703,0.00012599999999999997,4.548848209902644,4.67451414745301
85,22282240,7.197082996368408,7.049953460693359,-0.14712953567504883,0.00012749999999999998,4.548842857591808,4.674751391634345
86,22544384,7.133576393127441,6.977860927581787,-0.1557154655456543,0.000129,4.647308639250696,4.674408881925046
87,22806528,7.082789421081543,6.952690601348877,-0.13009881973266602,0.0001305,4.549304087646306,4.676276029087603
88,23068672,7.12239933013916,6.9794745445251465,-0.14292478561401367,0.00013199999999999998,4.549133267253637,4.676723349839449
89,23330816,7.013249397277832,6.868134498596191,-0.14511489868164062,0.0001335,4.547959757968783,4.7454845095053315
90,23592960,6.994867324829102,6.846346855163574,-0.14852046966552734,0.00013499999999999997,4.549407058395445,4.7175063556060195
91,23855104,7.005458354949951,6.866765975952148,-0.13869237899780273,0.00013649999999999998,4.549920185469091,4.701100796461105
92,24117248,6.974330902099609,6.828572750091553,-0.14575815200805664,0.000138,4.547559537924826,4.687807993032038
93,24379392,6.9821391105651855,6.837403774261475,-0.14473533630371094,0.00013949999999999998,4.549860643222928,4.683689990080893
94,24641536,6.9604926109313965,6.808967113494873,-0.15152549743652344,0.00014099999999999998,4.547494159080088,4.687604310922325
95,24903680,6.986364364624023,6.859305381774902,-0.1270589828491211,0.0001425,4.547854273580015,4.682486402802169
96,25165824,6.981594085693359,6.850677490234375,-0.13091659545898438,0.000144,4.548983315937221,4.686191544868052
97,25427968,6.92457914352417,6.798470973968506,-0.12610816955566406,0.00014549999999999999,4.549395435489714,4.739003804512322
98,25690112,6.866257190704346,6.740086078643799,-0.12617111206054688,0.000147,4.548636910505593,4.685073043219745
99,25952256,6.854594707489014,6.73077392578125,-0.12382078170776367,0.00014849999999999998,4.548074722290039,4.683439148589969
100,26214400,6.9318928718566895,6.807135581970215,-0.12475728988647461,0.00015,4.54707464389503,4.68873321544379
