update,loss_tokens,muon_train_loss,tiller_train_loss,train_loss_gap_tiller_minus_muon,muon_train_mean_last_100,tiller_train_mean_last_100,muon_validation_loss,tiller_validation_loss,validation_loss_gap_tiller_minus_muon,muon_validation_ppl,tiller_validation_ppl,validation_ppl_gap_tiller_minus_muon
7600,1992294400,2.818338394165039,2.817131519317627,-0.0012068748474121094,2.911282489299774,2.91057612657547,2.784375924617052,2.7824169024825096,-0.001959022134542465,16.189711123233593,16.15802616669022,-0.03168495654337278
7700,2018508800,3.028789520263672,3.026787281036377,-0.002002239227294922,2.9421244716644286,2.940794816017151,2.7792547456920147,2.778509546071291,-0.0007451996207237244,16.107012653397963,16.095014184860013,-0.011998468537949947
7800,2044723200,2.9838175773620605,2.9822158813476562,-0.0016016960144042969,2.940262048244476,2.9385600328445434,2.7803906053304672,2.7779922783374786,-0.0023983269929885864,16.125318353351734,16.08669090621426,-0.03862744713747546
7900,2070937600,2.9415860176086426,2.9408626556396484,-0.0007233619689941406,2.9164706110954284,2.9152906703948975,2.779358498752117,2.7786874547600746,-0.0006710439920425415,16.10868389194642,16.097877882460384,-0.010806009486035606
8000,2097152000,2.831331729888916,2.8305156230926514,-0.0008161067962646484,2.9227630209922792,2.9217240023612976,2.780596684664488,2.777345262467861,-0.003251422196626663,16.128641790652974,16.07628592836419,-0.05235586228878475
8100,2123366400,2.743581771850586,2.7379860877990723,-0.005595684051513672,2.849482116699219,2.847600131034851,2.785919602960348,2.7835969738662243,-0.0023226290941238403,16.214722129186214,16.17710504599254,-0.037617083193673295
8200,2149580800,2.76381516456604,2.760268211364746,-0.0035469532012939453,2.825716407299042,2.824029574394226,2.781056948006153,2.7783818021416664,-0.0026751458644866943,16.13606692184683,16.09295827581842,-0.043108646028407804
8300,2175795200,2.8749759197235107,2.8725507259368896,-0.0024251937866210938,2.8499710369110107,2.848380496501923,2.7688979133963585,2.765607252717018,-0.0032906606793403625,15.941055901117652,15.888685509129012,-0.05237039198864046
8400,2202009600,2.8324098587036133,2.8308868408203125,-0.0015230178833007812,2.887921953201294,2.8865415406227113,2.7511769235134125,2.74894330278039,-0.00223362073302269,15.661052903403334,15.626111088845288,-0.03494181455804579
8500,2228224000,2.904029130935669,2.9046010971069336,0.0005719661712646484,2.8729085183143614,2.8721640801429746,2.7450154051184654,2.7423906922340393,-0.002624712884426117,15.564853708752954,15.52405400385777,-0.04079970489518381
8600,2254438400,2.879105567932129,2.8756070137023926,-0.003498554229736328,2.882221953868866,2.880917634963989,2.743517030030489,2.7400638088583946,-0.003453221172094345,15.541549183527914,15.487973334707753,-0.0535758488201612
8700,2280652800,2.8735711574554443,2.8720219135284424,-0.0015492439270019531,2.8980563282966614,2.8969224429130556,2.742316287010908,2.739775389432907,-0.0025408975780010223,15.522898976126294,15.483506946464118,-0.03939202966217614
8800,2306867200,2.8485641479492188,2.8479137420654297,-0.0006504058837890625,2.8928905940055847,2.8915136098861693,2.746749959886074,2.745188992470503,-0.0015609674155712128,15.59187522833849,15.567555805011189,-0.024319423327300527
8900,2333081600,2.958834648132324,2.956202507019043,-0.00263214111328125,2.8837184524536132,2.8822641158103943,2.7483816519379616,2.7450294755399227,-0.003352176398038864,15.617337134568414,15.565072714345305,-0.05226442022310884
9000,2359296000,2.8384387493133545,2.835989236831665,-0.002449512481689453,2.8676238012313844,2.866053433418274,2.750613421201706,2.7465630434453487,-0.004050377756357193,15.652230349886615,15.58896112287217,-0.0632692270144446
9100,2385510400,2.8089098930358887,2.809739112854004,0.0008292198181152344,2.82693274974823,2.8251347732543945,2.7521798610687256,2.7512592524290085,-0.000920608639717102,15.676767840749042,15.662342313983123,-0.014425526765919017
9200,2411724800,2.828380584716797,2.828054904937744,-0.0003256797790527344,2.8186407899856567,2.817300398349762,2.7499876022338867,2.7500044107437134,1.6808509826660156e-05,15.642437951698843,15.642700879980577,0.0002629282817334655
9300,2437939200,2.906787395477295,2.9065563678741455,-0.00023102760314941406,2.888902761936188,2.887334175109863,2.737843818962574,2.73426079377532,-0.003583025187253952,15.45362832728805,15.398356666764585,-0.05527166052346466
9400,2464153600,2.894395589828491,2.8917062282562256,-0.002689361572265625,2.876183857917786,2.874794971942902,2.731041919440031,2.7281853407621384,-0.002856578677892685,15.34887097851763,15.305088285077321,-0.04378269344030805
9500,2490368000,2.855635166168213,2.852418899536133,-0.003216266632080078,2.888311221599579,2.8866003465652468,2.7286782041192055,2.725257523357868,-0.0034206807613372803,15.312633461487463,15.260343315735621,-0.05229014575184188
9600,2516582400,2.8396449089050293,2.838303565979004,-0.0013413429260253906,2.884722502231598,2.884176208972931,2.7269814014434814,2.725539993494749,-0.001441407948732376,15.286672975197584,15.264654515864846,-0.02201845933273816
